,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,indexstore-db,C++
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,llvm-monorepo-root,
44,llvm-project,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-afv,Python
50,ml-aim,Python
51,ml-all-pairs,Python
52,ml-ane-transformers,Python
53,ml-aspanformer,Python
54,ml-autofocusformer,Python
55,ml-autofocusformer-segmentation,Python
56,ml-batchquant,Python
57,ml-behavioral-testing-for-mt,
58,ml-calibration,Jupyter Notebook
59,ml-capsules-inverted-attention-routing,Python
60,ml-cifar-10-faster,Python
61,ml-code-switched-speech-translation,Python
62,ml-codeswitching-translations,
63,ml-collegial-ensembles,Python
64,ml-core,Python
65,ml-covid-mobility,R
66,ml-cread,Python
67,ml-cvnets,Python
68,ml-cvpr2019-swd,Python
69,ml-dab,Python
70,ml-data-parameters,Python
71,ml-delphi,
72,ml-destseg,Python
73,ml-dms-dataset,Python
74,ml-dprecs,Jupyter Notebook
75,ml-dr,Python
76,ml-duet,Python
77,ml-entity-deduction-arena,Python
78,ml-entropy-reconstruction,Python
79,ml-envmapnet,Python
80,ml-equivariant-neural-rendering,Jupyter Notebook
81,ml-facelit,Python
82,ml-famae,Python
83,ml-fastvit,Python
84,ml-fct,Python
85,ml-ferret,Python
86,ml-finerecon,Python
87,ml-flair,Jupyter Notebook
88,ml-gaudi,
89,ml-gmpi,Python
90,ml-gsn,Python
91,ml-hd-gist,Python
92,ml-heart-rate-models,Python
93,ml-hierarchical-confusion-matrix,TypeScript
94,ml-hugs,Python
95,ml-hypersim,Python
96,ml-interspeech2022-phi_rtn,
97,ml-kge,Python
98,ml-knowledge-conflicts,Python
99,ml-live-pose,
100,ml-llarp,Python
101,ml-lucid-datagen,Python
102,ml-mgie,Python
103,ml-mkqa,Python
104,ml-mobileclip,Python
105,ml-mobileone,Swift
106,ml-mofi,Python
107,ml-multiple-futures-prediction,Python
108,ml-ncg,Python
109,ml-neilf,Python
110,ml-neilfpp,Python
111,ml-neuman,Python
112,ml-no-token-left-behind,Jupyter Notebook
113,ml-np-rasp,Python
114,ml-nvas3d,Python
115,ml-ogen,Python
116,ml-pgdvs,Python
117,ml-planner,Python
118,ml-pointconvformer,Python
119,ml-pointersect,Python
120,ml-probabilistic-attention,Python
121,ml-projunit,Python
122,ml-qrecc,Python
123,ml-quant,Python
124,ml-reed,Python
125,ml-rlgrad,Python
126,ml-robust-expert-augmentations,Python
127,ml-rpm-bench,Python
128,ml-sad,Python
129,ml-selfcond,Python
130,ml-shuffling-amplification,Python
131,ml-sigma-reparam,Python
132,ml-spatial-librispeech,
133,ml-spin,Python
134,ml-stable-diffusion,Python
135,ml-stabledreamer,
136,ml-stuttering-events-dataset,Python
137,ml-symphony,Svelte
138,ml-tic-clip,Python
139,ml-tract,Python
140,ml-transcript-translation-consistency-ratings,
141,ml-translate-vis,TypeScript
142,ml-tree-dst,Python
143,ml-tune-mode-convbn,Python
144,ml-upscale,Jupyter Notebook
145,ml-uwac,Python
146,ml-veclip,Jupyter Notebook
147,ml-vfi-smiff,Python
148,ml-vision-transformers-ane,Python
149,openjdk,Java
150,password-manager-resources,JavaScript
151,pfl-research,Python
152,pkl,Java
153,pkl-go,Go
154,pkl-go-examples,Go
155,pkl-intellij,Kotlin
156,pkl-jvm-examples,Groovy
157,pkl-k8s,Kotlin
158,pkl-k8s-examples,
159,pkl-lang.org,JavaScript
160,pkl-neovim,Scheme
161,pkl-package-docs,Kotlin
162,pkl-pantry,Kotlin
163,pkl-project-commons,
164,pkl-spring,Java
165,pkl-swift,Swift
166,pkl-swift-examples,Swift
167,pkl-vscode,TypeScript
168,pkl.tmbundle,
169,pytorch-speech-features,Python
170,rules_pkl,Starlark
171,sample-backyard-birds,Swift
172,sample-cloudkit-coredatasync,Swift
173,sample-cloudkit-encryption,Swift
174,sample-cloudkit-privatedb,Swift
175,sample-cloudkit-privatedb-sync,Swift
176,sample-cloudkit-queries,Swift
177,sample-cloudkit-sharing,Swift
178,sample-cloudkit-sync-engine,Swift
179,sample-cloudkit-tooling,JavaScript
180,sample-cloudkit-zonesharing,Swift
181,sample-food-truck,Swift
182,servicetalk,Java
183,sourcekit-lsp,Swift
184,swift,C++
185,swift-3-api-guidelines-review,Swift
186,swift-algorithms,Swift
187,swift-aoc-starter-example,Swift
188,swift-argument-parser,Swift
189,swift-asn1,Swift
190,swift-async-algorithms,Swift
191,swift-async-dns-resolver,Swift
192,swift-atomics,Swift
193,swift-book,Markdown
194,swift-cassandra-client,Swift
195,swift-certificates,Swift
196,swift-clang,C++
197,swift-clang-tools-extra,C++
198,swift-cluster-membership,Swift
199,swift-cmake-examples,CMake
200,swift-cmark,C
201,swift-collections,Swift
202,swift-collections-benchmark,Swift
203,swift-community-hosted-continuous-integration,
204,swift-compiler-rt,C
205,swift-corelibs-foundation,Swift
206,swift-corelibs-libdispatch,C
207,swift-corelibs-xctest,Swift
208,swift-crypto,C
209,swift-distributed-actors,Swift
210,swift-distributed-tracing,Swift
211,swift-distributed-tracing-baggage-core,Swift
212,swift-distributed-tracing-extras,Swift
213,swift-docc,Swift
214,swift-docc-plugin,Swift
215,swift-docc-render,JavaScript
216,swift-docc-render-artifact,
217,swift-docc-symbolkit,Swift
218,swift-docker,Dockerfile
219,swift-driver,Swift
220,swift-embedded-examples,Swift
221,swift-evolution,Markdown
222,swift-evolution-staging,Swift
223,swift-experimental-string-processing,Swift
224,swift-for-wasm-examples,Swift
225,swift-format,Swift
226,swift-foundation,Swift
227,swift-foundation-icu,C
228,swift-getting-started-cli,Swift
229,swift-getting-started-package-library,Swift
230,swift-http-structured-headers,Swift
231,swift-http-types,Swift
232,swift-installer-scripts,CMake
233,swift-integration-tests,Python
234,swift-internals,HTML
235,swift-issues,
236,swift-libcxx,C++
237,swift-llbuild,C++
238,swift-llbuild2,Swift
239,swift-lldb,C++
240,swift-llvm,LLVM
241,swift-llvm-bindings,Swift
242,swift-lmdb,C
243,swift-log,Swift
244,swift-markdown,Swift
245,swift-metrics,Swift
246,swift-metrics-extras,Swift
247,swift-mmio,Swift
248,swift-nio,Swift
249,swift-nio-examples,Swift
250,swift-nio-extras,Swift
251,swift-nio-http2,Swift
252,swift-nio-imap,Swift
253,swift-nio-nghttp2-support,Swift
254,swift-nio-ssh,Swift
255,swift-nio-ssl,C
256,swift-nio-ssl-support,Swift
257,swift-nio-transport-services,Swift
258,swift-nio-zlib-support,Swift
259,swift-numerics,Swift
260,swift-openapi-generator,Swift
261,swift-openapi-runtime,Swift
262,swift-openapi-urlsession,Swift
263,swift-org-website,SCSS
264,swift-package-collection-generator,Swift
265,swift-package-manager,Swift
266,swift-package-registry-compatibility-test-suite,Swift
267,swift-playdate-examples,Swift
268,swift-protobuf,Swift
269,swift-protobuf-plugin,
270,swift-protobuf-test-conformance,
271,swift-sample-distributed-actors-transport,Swift
272,swift-sdk-generator,Swift
273,swift-se0270-range-set,Swift
274,swift-se0288-is-power,Swift
275,swift-service-context,Swift
276,swift-service-discovery,Swift
277,swift-source-compat-suite,Python
278,swift-standard-library-preview,Swift
279,swift-statsd-client,Swift
280,swift-stress-tester,Swift
281,swift-string-processing-benchmarks,Swift
282,swift-syntax,Swift
283,swift-system,Swift
284,swift-testing,Swift
285,swift-tools-support-async,Swift
286,swift-tools-support-core,Swift
287,swift-xcode-playground-support,Swift
288,swiftpm-on-llbuild2,Swift
289,tensorflow_macos,Shell
290,tree-sitter-pkl,C
291,turicreate,C++
292,unityplugins,C#
293,VideoFlashingReduction,Mathematica
294,vqg-multimodal-assistant,Python
