,repository_name,language
0,.github,
1,akd,Rust
2,Ax,Python
3,between-meals,Ruby
4,bookworm,Ruby
5,bpfilter,C
6,buck,Java
7,buck2,Rust
8,buck2-prelude,Starlark
9,CacheLib,C++
10,chef-cookbooks,Ruby
11,chef-utils,Ruby
12,chisel,Python
13,componentkit,Objective-C++
14,Conversion-Leads-Salesforce-APEX,
15,create-react-app,JavaScript
16,dns,Go
17,docusaurus,TypeScript
18,dotslash,Rust
19,dotslash-publish-release,Python
20,duckling,Haskell
21,errpy,Rust
22,facebook-android-sdk,Kotlin
23,facebook-business-sdk-codegen,PHP
24,facebook-ios-sdk,Swift
25,facebook-java-business-sdk,Java
26,facebook-nodejs-business-sdk,JavaScript
27,facebook-php-business-sdk,PHP
28,facebook-python-business-sdk,Python
29,facebook-ruby-business-sdk,Ruby
30,facebook-sdk-for-unity,C#
31,facebook360_dep,HTML
32,FAI-PEP,Python
33,fatal,C++
34,fb303,C++
35,fbjs,JavaScript
36,fboss,C++
37,FBRetainCycleDetector,Objective-C++
38,fbt,JavaScript
39,fbthrift,C++
40,fishhook,C
41,flipper,TypeScript
42,flow,OCaml
43,folly,C++
44,fresco,Java
45,gfxreconstruct,
46,glTF,HTML
47,glTF-Sample-Assets,PHP
48,glXF,
49,grocery-delivery,Ruby
50,Haxl,Haskell
51,hermes,C++
52,hhvm,Hack
53,homebrew-fb,Ruby
54,hyperion,TypeScript
55,idb,Objective-C
56,idx,JavaScript
57,igl,C++
58,infer,OCaml
59,install-dotslash,
60,IT-CPE,Ruby
61,jscodeshift,JavaScript
62,jsx,HTML
63,ktfmt,Kotlin
64,kuduraft,C++
65,lexical,TypeScript
66,lexical-ios,Swift
67,litho,Java
68,lr-with-bins,Jupyter Notebook
69,mariana-trench,C++
70,mcrouter,C++
71,memlab,TypeScript
72,metro,JavaScript
73,mvfst,C++
74,mysql-5.6,C++
75,mysql-8.0,C++
76,netconsd,C
77,ocaml-scripts,Python
78,ocamlrep,Rust
79,opaque-ke,Rust
80,OpenBIC,C
81,openbmc,C
82,openbmc-linux,C
83,openbmc-uboot,C
84,openr,C++
85,OSM-HOT-Tasking-Manager,JavaScript
86,PathPicker,Python
87,prop-types,JavaScript
88,prophet,Python
89,proxygen,C++
90,pyre-action,
91,pyre-check,OCaml
92,pyre2,C++
93,Pysa,
94,pysa-action,
95,Rapid,JavaScript
96,react,JavaScript
97,react-devtools,
98,react-native,C++
99,react-native-cdp-status,TypeScript
100,react-native-deprecated-modules,JavaScript
101,react-native-website,JavaScript
102,react-router-3,
103,react-strict-dom,JavaScript
104,redex,C++
105,regenerator,JavaScript
106,relay,Rust
107,ristretto255-js,JavaScript
108,rocksdb,C++
109,sapling,Rust
110,sapp,Python
111,screenshot-tests-for-android,Java
112,SoLoader,Java
113,SPARTA,C++
114,SPIRV-Headers,
115,SPIRV-Registry,
116,squangle,C++
117,starlark-rust,Rust
118,stylex,JavaScript
119,tac_plus,C
120,taste-tester,Ruby
121,TestSlide,Python
122,TextLayoutBuilder,Java
123,threat-research,Python
124,ThreatExchange,C++
125,time,Go
126,transform360,C
127,usort,Python
128,voprf,Rust
129,wangle,C++
130,watchman,C++
131,wdt,C++
132,winterfell,Rust
133,yoga,C++
134,zstd,C
